Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,Churn Score,CLTV,Gender_Female,Gender_Male,Senior Citizen_No,Senior Citizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Online Security_No,Online Security_No internet service,Online Security_Yes,Online Backup_No,Online Backup_No internet service,Online Backup_Yes,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn Value
34.078821,-118.177576,0.2361111111111111,0.4621890547263682,0.1581213249633876,0.675,0.2210526315789474,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
34.110845,-118.259595,0.06944444444444445,0.5119402985074627,0.04387598154294504,0.5750000000000001,0.09384098544232922,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
34.137412,-118.207607,0.4722222222222222,0.8766169154228854,0.519630858900672,0.5625,0.20291153415453522,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.11572,-118.192754,0.15277777777777776,0.7920398009950248,0.1599317059529154,0.625,0.8150055991041434,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
33.987945,-118.370442,0.027777777777777776,0.6208955223880598,0.01844969569408977,0.875,0.7952967525195969,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
33.92128,-118.274186,0.20833333333333331,0.8044776119402984,0.20717823421620074,0.7750000000000001,0.2085106382978723,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
34.044271,-118.185237,0.1111111111111111,0.6208955223880598,0.09044545675323624,0.6125,0.7316909294512879,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
34.108833,-118.229715,0.25,0.7681592039800995,0.25518276752794683,0.7625,0.25621500559910415,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.063947,-118.383001,0.125,0.7577114427860697,0.12340763745280868,0.9500000000000002,0.7919372900335946,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1
33.97803,-118.217141,0.013888888888888888,0.607960199004975,0.008912078773650862,0.8375000000000001,0.1003359462486002,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
33.923573,-118.200669,0.09722222222222221,0.5661691542288557,0.07036936187749757,0.625,0.3184770436730123,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
33.977468,-118.445475,0.16666666666666666,0.6039800995024875,0.13372533723865385,0.825,0.8445688689809632,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.956445,-118.358634,0.06944444444444445,0.027860696517412936,0.013989976671106762,0.5750000000000001,0.12743561030235162,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
33.936291,-118.332639,0.3472222222222222,0.7985074626865671,0.3673307183385707,0.8500000000000001,0.7395296752519598,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.031529,-118.491156,0.9444444444444444,0.9129353233830845,0.20337349042926636,0.825,0.6716685330347145,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1
33.867257,-118.330794,0.7638888888888888,0.7810945273631841,0.7683227482466534,0.6875,0.6985442329227325,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
33.972119,-118.020188,0.5138888888888888,0.5796019900497512,0.4193828514236513,0.5875,0.16976483762597983,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.976678,-118.065875,0.1388888888888889,0.8159203980099502,0.1539338990160653,0.8375000000000001,0.8875699888017918,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
33.940619,-117.9513,0.041666666666666664,0.5587064676616916,0.03101933280837191,0.7000000000000001,0.5330347144456887,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.989524,-118.089299,0.375,0.5950248756218905,0.3115474341897073,0.9375,0.5829787234042554,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.391181,-118.421305,0.3472222222222222,0.4014925373134328,0.2184011244968098,0.9875,0.48264277715565507,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
33.798266,-118.300237,0.013888888888888888,0.17114427860696518,0.002450637680946109,0.75,0.05957446808510636,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
33.840524,-118.148403,0.027777777777777776,0.25970149253731345,0.009191731121626693,0.7000000000000001,0.11982082866741317,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
33.79499,-118.065591,0.013888888888888888,0.5194029850746269,0.007602128301553543,0.7000000000000001,0.43202687569988807,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
33.736387,-118.284363,0.1111111111111111,0.5263681592039802,0.08019399041822746,0.5750000000000001,0.1404255319148936,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
33.822295,-118.26411,0.013888888888888888,0.27263681592039796,0.003951929233237417,0.6625000000000001,0.12653975363941772,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.783047,-118.1486,0.09722222222222221,0.763681592039801,0.09371297366116439,0.925,0.16819708846584547,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
34.196837,-118.142236,0.2777777777777778,0.6383084577114428,0.23160365903019509,0.825,0.82508398656215,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
34.1528,-118.000482,0.05555555555555555,0.5238805970149254,0.037414540450240286,0.6875,0.504367301231803,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
34.168686,-118.057505,0.8055555555555555,0.2691542288557213,0.3874509688482003,1.0,0.7634938409854424,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
34.296574,-118.244839,0.027777777777777776,0.8572139303482588,0.03296953997188759,0.7875000000000001,0.5946248600223965,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.167465,-118.165327,0.736111111111111,0.7621890547263681,0.7331895822141107,0.75,0.5135498320268758,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
34.139402,-118.128658,0.20833333333333331,0.5592039800995025,0.1658632794389291,0.9875,0.8246360582306831,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
34.159007,-118.087353,0.09722222222222221,0.5791044776119403,0.07135550436772813,0.7625,0.5339305711086226,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
34.167926,-118.267539,0.013888888888888888,0.11641791044776117,0.0016411177262792252,0.9375,0.5596864501679732,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
34.136306,-118.26036,0.1111111111111111,0.6592039800995024,0.09476534960223135,0.825,0.026203807390817457,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
34.162515,-118.203869,0.18055555555555555,0.6069651741293532,0.16085161499230957,0.6625000000000001,0.6958566629339307,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
34.182378,-118.262922,0.013888888888888888,0.06517412935323383,0.0008831126778184174,0.925,0.6306830907054872,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
34.224377,-118.632656,0.08333333333333333,0.7238805970149254,0.07538838559643224,0.925,0.05554311310190374,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
34.266389,-118.459744,0.013888888888888888,0.6134328358208956,0.00899303076911755,0.9750000000000001,0.3043673012318029,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
34.502432,-118.41459,0.2638888888888889,0.8791044776119402,0.2819558002104752,0.6375000000000001,0.3872340425531915,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.231053,-118.338307,0.027777777777777776,0.2761194029850746,0.00967008382211167,0.7000000000000001,0.14154535274356106,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
34.364153,-118.615583,0.05555555555555555,0.5164179104477612,0.03673012812493102,0.5875,0.04300111982082866,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
34.223768,-118.445461,0.05555555555555555,0.31641791044776113,0.02363062340395782,0.7750000000000001,0.3043673012318029,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
34.17847,-118.459472,0.013888888888888888,0.36766169154228856,0.005357550245431732,0.7625,0.3590145576707727,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1
34.213049,-118.317651,0.013888888888888888,0.6601990049751243,0.009684802366741976,0.5750000000000001,0.10055991041433365,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
34.1692,-118.372498,0.027777777777777776,0.3597014925373134,0.01402677303268253,0.7625,0.11668533034714446,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
34.207295,-118.400022,0.15277777777777776,0.763681592039801,0.1621247691028311,0.8125,0.8835386338185891,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.097345,-117.906736,0.20833333333333331,0.5587064676616916,0.1553542385728899,0.825,0.5780515117581186,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
34.084747,-117.886844,0.013888888888888888,0.3014925373134328,0.004378767027516319,0.7125,0.8179171332586785,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
34.079934,-118.046695,0.027777777777777776,0.518905472636816,0.01889125203299898,0.6875,0.8179171332586785,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
34.074492,-118.01462,0.013888888888888888,0.218407960199005,0.0031497685508856893,0.5625,0.8494960806270997,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
34.031441,-117.936436,0.027777777777777776,0.26218905472636816,0.009088701309214544,0.9875,0.638073908174692,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
34.038983,-117.991372,0.041666666666666664,0.22786069651741292,0.016690829610768086,0.9500000000000002,0.062486002239641625,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
33.976753,-117.897367,0.18055555555555555,0.882089552238806,0.19803801800078008,0.8,0.10279955207166858,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.057256,-117.667677,0.8194444444444444,0.010945273631840807,0.15907803036435755,0.7875000000000001,0.6828667413213887,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
34.074087,-117.605618,0.2222222222222222,0.7582089552238807,0.21965956006270101,0.7625,0.39753639417693165,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.042286,-117.756106,0.013888888888888888,0.06517412935323383,0.0008831126778184174,0.6625000000000001,0.6835386338185891,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
34.067932,-117.785168,0.013888888888888888,0.5208955223880596,0.007624206118499003,0.6125,0.2918253079507279,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
34.065108,-118.082791,0.06944444444444445,0.6681592039800995,0.0562689961216635,0.75,0.3675251959686451,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
34.102119,-117.815532,0.7222222222222222,0.863681592039801,0.8251289712473232,0.5625,0.6279955207166854,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
34.061634,-117.893169,0.25,0.7651741293532338,0.259215648756651,0.6000000000000001,0.5840985442329227,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
34.074736,-118.145959,0.013888888888888888,0.5149253731343283,0.007535894850717162,0.9625000000000001,0.46114221724524074,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
32.827184,-116.703729,0.1111111111111111,0.5597014925373134,0.08650824606462913,0.75,0.5173572228443449,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
32.67117,-117.00232,0.1388888888888889,0.2646766169154229,0.06131745692985878,0.7875000000000001,0.45375139977603585,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
32.677097,-116.304991,0.3333333333333333,0.5756218905472636,0.24931742749276953,0.9750000000000001,0.5581187010078388,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
32.857946,-116.561917,0.013888888888888888,0.5507462686567164,0.008065762457408213,0.75,0.11870100783874582,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
32.649787,-116.2237,0.05555555555555555,0.7681592039800995,0.055533068890148155,0.8125,0.3677491601343785,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
32.830852,-116.444601,0.4444444444444444,0.5636815920398011,0.33625251135167755,0.6125,0.4636058230683091,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.200369,-116.192313,0.06944444444444445,0.6203980099502486,0.058395825820742854,0.6125,0.8241881298992162,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
33.098018,-117.258203,0.5277777777777778,0.617412935323383,0.447421678944386,0.7625,0.008062709966405346,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
32.948262,-117.256086,0.3333333333333333,0.7452736318407961,0.32561100358396566,0.6625000000000001,0.03964165733482644,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
32.79697,-116.969082,0.75,0.6388059701492538,0.6375043235724852,0.7875000000000001,0.47346024636058237,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
33.079834,-117.134275,0.027777777777777776,0.5184079601990049,0.017699049917944115,0.6625000000000001,0.14244120940649496,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.254497,-117.285879,0.09722222222222221,0.553233830845771,0.07248147303194662,0.5875,0.09809630459126539,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
33.384345,-117.072619,0.027777777777777776,0.6203980099502486,0.02016440614352053,0.9000000000000001,0.14512877939529678,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
33.309852,-116.823091,0.9444444444444444,0.572636815920398,0.7764253070656374,0.7625,0.6423292273236283,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
33.313828,-116.940501,0.5972222222222222,0.8592039800995025,0.697813560195168,0.8875,0.7200447928331468,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
33.215251,-116.53633,0.875,0.8472636815920399,0.9690984155486706,0.9750000000000001,0.5189249720044793,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
33.25283,-116.986079,0.027777777777777776,0.7179104477611941,0.02198950567767859,0.7000000000000001,0.4752519596864502,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
32.747484,-117.166877,0.05555555555555555,0.6621890547263681,0.05197118108961386,0.6625000000000001,0.6503919372900335,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
32.741499,-117.127409,0.29166666666666663,0.23532338308457706,0.12088340704871105,0.9625000000000001,0.614333706606943,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
